,0
0,0.0
1,0.001971456586443443
2,0.0
3,0.0003092978520832674
4,3.9249486725769216e-05
5,0.0009058317576027551
6,0.0014594060603316953
7,0.0003979666401369427
8,0.0003738866329104278
9,0.0007692605735421329
10,0.0030264772682856637
11,4.229298117143841e-05
12,0.0004523411794454463
13,0.0017190046451569167
14,0.0007665404940316685
15,0.0004534564636794967
16,0.0012459643782714634
17,0.0004595911611417343
18,0.0012066721013018447
19,0.0010179936459145877
20,0.00030328245260014604
21,0.0005212380936917889
22,0.00037757873010361
23,0.0005754360434322085
24,0.0032147648139771454
25,0.0
26,0.00023145006086953867
27,0.001539438062637356
28,0.0009076489090129845
29,7.499692583659126e-05
30,0.001228179274139609
31,0.0075471963225363925
32,0.00029222439475701625
33,0.0021467352499993735
34,0.0022862466309414003
35,0.0005447268557349852
36,3.901589331719218e-05
37,0.00036427522509845583
38,0.0
39,0.004386297528202548
40,0.0007567125830816296
41,0.00017319806108608547
42,0.0007844838322472434
43,0.00024157025697116823
44,0.0033164697952417473
45,0.0
